"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"33","Tamstore Khatai","Mercan Təzə Toyuq Bud Bütöv Açıq kg","4.89","6.20","21%","No image",""
"34","Tamstore Khatai","Yubileynoe Peçenye 112 qr Südlu","0.99","1.39","29%","https://imageproxy.wolt.com/assets/68a6ff3c324d140dfd418373","images/yubileynoe_pe_enye_112_qr_s_dlu_33.jpg"
"35","Tamstore Khatai","AKTIVIA ICMELI YOGURT MANGO MARAKUYA 260 GR","1.74","2.08","16%","https://imageproxy.wolt.com/assets/68ad7c635650c92c6dc8c21e","images/aktivia_icmeli_yogurt_mango_marakuya_260_gr_34.jpg"
"36","Tamstore Khatai","Armud Santa Maria kq","1.60","1.89","15%","No image",""
"37","Tamstore Khatai","Mercan Təzə Toyuq Qanad Açıq 1kq","5.99","7.05","15%","No image",""
"38","Tamstore Khatai","Selpak Qutu Salfet 48 Ədəd 3 Qat Butik","2.58","3.38","24%","https://imageproxy.wolt.com/assets/68ac33135650c92c6dc87e9c","images/selpak_qutu_salfet_48__d_d_3_qat_butik_37.jpg"
"39","Tamstore Khatai","Johnsons Vita Rich Sabun Nar 90qr","1.44","2.38","39%","https://imageproxy.wolt.com/assets/68a81fe0324d140dfd41a7df","images/johnsons_vita_rich_sabun_nar_90qr_38.jpg"
"40","Tamstore Khatai","Sarıkız Soda 6-lı Alma Soda 200 ml.","4.98","5.88","15%","https://imageproxy.wolt.com/assets/68b0d79c83a9e2e9a3cf91d6","images/sar_k_z_soda_6_l__alma_soda_200_ml__39.jpg"
"41","Tamstore Khatai","Sleepy Easy Clean Yağ Çözücü Təmizlik Salfeti Sarı","3.98","9.34","57%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/b591a0c6-89c6-11f0-980a-8641f8f055b0_132495.jpg","images/sleepy_easy_clean_ya____z_c__t_mizlik_salfeti_sar__40.jpg"
"42","Tamstore Khatai","Activia İçməli Yoqurt Yerçiyələyi-Çiyələk 260 qr","1.74","2.08","16%","https://imageproxy.wolt.com/assets/68a6fb5972cf20388ef45326","images/activia___m_li_yoqurt_yer_iy_l_yi__iy_l_k_260_qr_41.jpg"
